Zeit;Temp
3.8;22.6649
4;22.6659
4.2;22.6668
4.4;22.6675
4.6;22.6682
4.8;22.6689
5;22.6695
5.2;22.6699
5.4;22.6703
5.6;22.6705
5.8;22.6707
6;22.6709
6.2;22.6709
6.4;22.6747
6.6;22.8096
6.8;23.2302
7;23.7119
7.2;23.9941
7.4;24.13
7.6;24.2018
7.8;24.244
8;24.2706
8.2;24.2878
8.4;24.2996
8.6;24.3083
8.8;24.3148
9;24.3196
9.2;24.3233
9.4;24.3263
9.6;24.329
9.8;24.3311
10;24.3328
10.2;24.3342
10.4;24.3354
10.6;24.3364
10.8;24.3374
11;24.3381
11.2;24.3388
11.4;24.3394
11.6;24.34
11.8;24.3404
12;24.3408
12.2;24.3412
12.4;24.3415
12.6;24.3418
12.8;24.3421
13;24.3423
13.2;24.3425
13.4;24.3426
13.6;24.3427
